,R Elbow,L Elbow,R Shoulder,L Shoulder,Body Twist,R Knee,L Knee
0,118.44,160.93,97.0,115.56,9.8,148.91,169.78
1,112.3,165.31,99.12,110.73,7.81,153.24,169.6
2,104.51,166.88,97.3,108.93,7.84,156.03,166.96
3,99.89,167.28,94.23,108.67,8.34,158.12,165.77
4,95.85,167.83,94.34,107.05,9.96,159.3,164.54
5,100.04,166.28,96.58,106.12,13.13,158.79,163.99
6,103.23,162.91,98.34,103.07,16.7,157.04,162.89
7,104.6,158.25,97.59,100.06,20.25,154.87,161.67
8,105.12,153.76,95.94,97.3,22.18,151.63,161.01
9,108.47,148.21,96.39,93.41,24.57,148.71,161.12
10,111.03,143.65,98.19,90.49,27.63,146.62,159.44
11,112.05,139.31,100.54,87.53,30.85,145.89,158.16
12,112.12,137.0,104.99,86.47,32.8,145.64,155.82
13,113.35,135.48,108.34,85.98,33.4,145.7,152.64
14,114.42,134.47,110.28,86.1,34.2,144.59,146.96
15,115.68,39.71,110.23,85.73,35.4,142.38,141.81
16,116.33,36.98,109.99,85.54,35.8,139.9,138.1
17,117.2,32.91,108.84,84.57,35.67,137.27,137.63
18,117.9,114.57,108.73,94.38,34.23,136.67,137.15
19,119.12,114.7,108.86,88.01,32.51,137.28,134.31
20,120.35,113.19,108.58,82.01,31.34,138.38,130.9
21,121.91,97.83,108.7,82.58,29.36,140.06,126.48
22,122.26,79.92,109.74,83.56,26.71,142.18,84.34
23,122.98,92.74,109.7,82.21,24.98,144.15,84.66
24,123.03,84.0,109.98,81.48,23.08,145.5,76.24
25,123.01,76.25,110.21,80.79,21.74,146.77,71.45
26,122.68,70.95,111.06,80.92,20.07,146.98,74.22
27,122.28,67.89,112.93,81.65,17.96,146.65,77.01
28,122.0,66.32,115.53,82.72,15.58,146.18,77.1
29,124.08,65.09,115.77,83.18,14.25,145.75,77.41
30,126.23,64.03,113.74,82.87,13.78,145.4,78.79
31,127.94,62.95,110.53,81.96,13.73,145.76,82.25
32,128.19,61.27,106.56,80.95,13.72,146.6,84.5
33,129.71,60.26,103.18,79.81,13.73,147.33,87.03
34,130.77,59.47,99.22,77.77,14.59,148.23,90.26
35,131.79,58.72,95.07,75.37,15.21,149.48,95.25
36,134.8,57.14,90.42,72.18,17.13,151.25,97.92
37,137.3,55.35,87.32,69.81,17.93,152.57,99.08
38,138.94,53.17,85.63,68.14,17.93,153.97,98.79
39,139.37,50.91,83.13,66.45,18.58,155.63,98.99
40,137.5,48.74,80.45,65.0,19.14,154.84,97.19
41,135.51,47.41,78.78,63.64,19.71,152.38,112.04
42,134.39,46.12,77.0,62.41,20.83,148.43,124.96
43,122.97,45.61,76.73,61.07,22.6,151.44,129.05
44,110.03,44.96,75.77,59.36,25.58,154.24,122.6
